{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Hydro_dam;Hydro_river;Solar
1;0.000101997;0.000260793;5.8742E-06;0.000114155;0;0.410990016;0.075997031;0.368087837;0
2;9.77669E-05;0.000302992;2.34968E-06;0.000114155;0;0.330208991;0.076429546;0.367839696;0
3;9.51669E-05;0.000280593;1.17484E-06;0.000114155;0;0.302818485;0.076862889;0.367610643;0
4;9.2287E-05;0.000241494;1.40981E-05;0.000114155;0;0.264877889;0.077295404;0.367362503;0
5;9.09371E-05;0.000184595;3.75949E-05;0.000114155;0;0.220117256;0.077728747;0.367123906;0
6;8.42273E-05;0.000238394;9.39872E-05;0.000114155;0;0.174948303;0.078161262;0.366875766;0
7;8.57272E-05;0.000181495;0.0001821;0.000114155;0;0.124151165;0.078594605;0.366627625;0
8;8.15174E-05;0.000178295;0.000158603;0.000114155;0;0.110025521;0.079027121;0.366379485;0
9;8.27073E-05;0.000165396;0.000146855;0.000114155;0.00877421;0.100347248;0.079459636;0.366131344;0
10;8.61072E-05;0.000163496;0.000164478;0.000114155;0.078967886;0.057297142;0.079892979;0.365883204;0
11;9.03271E-05;0.000152396;0.000187974;0.000114155;0.122838934;0.045897306;0.080327148;0.365654151;0
12;9.2857E-05;0.000129297;0.000206772;0.000114155;0.254452077;0.047883725;0.080759664;0.36540601;0
13;0.000100597;0.000141196;0.000187974;0.000114155;0.210581029;0.042178289;0.081192179;0.365167414;0
14;0.000100797;0.000130497;0.000190324;0.000114155;0.19303261;0.033294583;0.081625522;0.364919273;0
15;9.79168E-05;0.000147196;0.000213821;0.000114155;0.105290515;0.046228376;0.082058037;0.364671133;0
16;9.55569E-05;0.000179695;0.00022322;0.000114155;0.026322629;0.057495784;0.08249138;0.364422992;0
17;9.79668E-05;0.000219994;0.00022322;0.000114155;0;0.069237725;0.082922241;0.364174852;0
18;0.000112596;0.000167896;0.000164478;0.000114155;0;0.086221604;0.083360546;0.363926711;0
19;0.000115896;0.000151196;0.000117484;0.000114155;0;0.109297168;0.08379058;0.363678571;0
20;0.000113996;0.000136596;8.8113E-05;0.000114155;0;0.150548461;0.084220615;0.363459062;0
21;0.000108097;0.000145896;5.8742E-05;0.000114155;0;0.18250773;0.084658919;0.363210921;0
22;9.95368E-05;0.000218894;3.75949E-05;0.000114155;0;0.18250773;0.085088954;0.362962781;0
23;0.000102897;0.000197795;2.34968E-05;0.000114155;0;0.174418592;0.085518988;0.36271464;0
24;9.3437E-05;0.000252593;9.39872E-06;0.000114155;0;0.160292948;0.085957293;0.3624665;0
25;9.05571E-05;0.000246394;5.8742E-06;0.000114155;0;0.148628257;0.086643694;0.362218359;0
26;8.49473E-05;0.000279893;2.34968E-06;0.000114155;0;0.161948297;0.08775186;0.361970218;0
27;8.43673E-05;0.000253193;1.17484E-06;0.000114155;0;0.174087522;0.088868296;0.361722078;0
28;8.39773E-05;0.000233394;1.40981E-05;0.000114155;0;0.204402478;0.089976462;0.361502569;0
29;8.40773E-05;0.000211794;3.75949E-05;0.000114155;0;0.238425415;0.091084628;0.361254428;0
30;9.1867E-05;0.000166096;9.39872E-05;0.000114155;0;0.278804891;0.092201064;0.361006288;0
31;9.4107E-05;0.000165496;0.0001821;0.000114155;0;0.319526473;0.09330923;0.360758147;0
32;9.3867E-05;0.000192195;0.000158603;0.000114155;0;0.346188626;0.094417396;0.360510007;0
33;9.71769E-05;0.000217094;0.000146855;0.000114155;0.017548419;0.362709007;0.095533832;0.360261866;0
34;0.000104397;0.000203095;0.000164478;0.000114155;0.105290515;0.330804917;0.096641998;0.360013726;0.070443531
35;0.000109396;0.000176495;0.000187974;0.000114155;0.140387353;0.300633425;0.097750164;0.359765585;0.077196706
36;0.000110496;0.000162496;0.000206772;0.000114155;0.149161563;0.290083335;0.0988666;0.359546076;0.132864418
37;0.000113796;0.000170796;0.000187974;0.000114155;0.166709982;0.276354975;0.099974766;0.359297936;0.148207999
38;0.000110196;0.000173795;0.000190324;0.000114155;0.131613143;0.21255783;0.101091201;0.359049795;0.084265748
39;0.000103997;0.000208795;0.000213821;0.000114155;0.052645257;0.206852394;0.102199367;0.358801655;0.065825463
40;0.000102397;0.000214194;0.00022322;0.000114155;0.00877421;0.24186854;0.103307533;0.358553514;0
41;0.000106197;0.000225194;0.00022322;0.000114155;0;0.312562972;0.104423969;0.358305374;0
42;0.000122796;0.000204195;0.000164478;0.000114155;0;0.374307485;0.105532135;0.358057233;0
