Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000008	0.000004	0.000000
CCGT_AMMONIA	0.000008	0.000004	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1759.572362	416.349903	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000007	0.000009	0.000000
IND_COGEN_WOOD	0.000008	0.000006	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	2.559267	0.764407	0.000000
IND_BOILER_WOOD	13.317723	3.970702	0.000000
IND_BOILER_OIL	0.000007	0.000002	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	297.138121	17.985876	0.000000
DHN_HP_ELEC	52.954526	37.204852	0.000000
DHN_COGEN_GAS	0.000006	0.000004	0.000000
DHN_COGEN_WOOD	0.000006	0.000004	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000005	0.000008	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000013	0.000008	0.000000
DHN_BOILER_GAS	0.000002	0.000000	0.000000
DHN_BOILER_WOOD	0.000003	0.000001	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000	0.000000
DEC_HP_ELEC	249.820603	163.249339	0.000000
DEC_THHP_GAS	0.000014	0.000007	0.000000
DEC_COGEN_GAS	0.000011	0.000012	0.000000
DEC_COGEN_OIL	0.000011	0.000011	0.000000
DEC_ADVCOGEN_GAS	0.000019	0.000006	0.000000
DEC_ADVCOGEN_H2	0.000019	0.000006	0.000000
DEC_BOILER_GAS	0.000014	0.000006	0.000000
DEC_BOILER_WOOD	0.000014	0.000007	0.000000
DEC_BOILER_OIL	0.000011	0.000009	0.000000
DEC_SOLAR	0.000118	0.000022	0.000000
DEC_DIRECT_ELEC	0.000017	0.000001	0.000000
TRAMWAY_TROLLEY	170.625413	81.954246	0.000000
BUS_COACH_DIESEL	0.000009	0.000006	0.000000
BUS_COACH_HYDIESEL	0.000009	0.000005	0.000000
BUS_COACH_CNG_STOICH	237.355721	154.106022	0.000000
BUS_COACH_FC_HYBRIDH2	0.000004	0.000001	0.000000
TRAIN_PUB	684.887058	739.453077	0.000000
CAR_GASOLINE	0.000002	0.000001	0.000000
CAR_DIESEL	0.000001	0.000001	0.000000
CAR_NG	0.000002	0.000001	0.000000
CAR_METHANOL	0.000001	0.000001	0.000000
CAR_HEV	0.000002	0.000001	0.000000
CAR_PHEV	0.000644	0.000438	0.000000
CAR_BEV	6551.216356	1456.978471	0.000000
CAR_FUEL_CELL	0.000003	0.000000	0.000000
TRAIN_FREIGHT	19.962219	11.943219	0.000000
BOAT_FREIGHT_DIESEL	54.367834	78.635004	0.000000
BOAT_FREIGHT_NG	0.000001	0.000002	0.000000
BOAT_FREIGHT_METHANOL	0.000001	0.000001	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	1155.231401	459.458068	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000019	0.000006	0.000000
SYN_METHANOLATION	0.000020	0.000010	0.000000
METHANE_TO_METHANOL	0.000007	0.000006	0.000000
BIOMASS_TO_METHANOL	0.000012	0.000003	0.000000
OIL_TO_HVC	0.000011	0.000001	0.000000
GAS_TO_HVC	0.000008	0.000004	0.000000
BIOMASS_TO_HVC	0.000010	0.000005	0.000000
METHANOL_TO_HVC	99.847673	154.281579	0.000000
PHS	10.919958	0.000000	0.000000
BATT_LI	0.000220	0.000005	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000034	0.000004	0.000000
TS_DEC_HP_ELEC	27.347476	3.286880	0.000000
TS_DEC_THHP_GAS	0.000033	0.000004	0.000000
TS_DEC_COGEN_GAS	0.000033	0.000004	0.000000
TS_DEC_COGEN_OIL	0.000033	0.000004	0.000000
TS_DEC_ADVCOGEN_GAS	0.000033	0.000004	0.000000
TS_DEC_ADVCOGEN_H2	0.000033	0.000004	0.000000
TS_DEC_BOILER_GAS	0.000033	0.000004	0.000000
TS_DEC_BOILER_WOOD	0.000034	0.000004	0.000000
TS_DEC_BOILER_OIL	0.000033	0.000004	0.000000
TS_DHN_DAILY	0.000035	0.000003	0.000000
TS_DHN_SEASONAL	11.793465	1.329861	0.000000
TS_HIGH_TEMP	74.873821	16.603887	0.000000
GAS_STORAGE	1.620358	1.485855	0.000000
H2_STORAGE	0.000452	0.000489	0.000000
DIESEL_STORAGE	0.000351	0.000241	0.000000
GASOLINE_STORAGE	0.000350	0.000241	0.000000
LFO_STORAGE	0.000350	0.000240	0.000000
AMMONIA_STORAGE	0.000350	0.000240	0.000000
METHANOL_STORAGE	0.000350	0.000240	0.000000
CO2_STORAGE	0.000554	0.000133	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	74.099076	0.000000	0.000000
GRID	2193.404867	0.000000	0.000000
H2_ELECTROLYSIS	11.544649	4.236188	0.000000
SMR	0.000005	0.000010	0.000000
H2_BIOMASS	0.000006	0.000009	0.000000
GASIFICATION_SNG	0.000007	0.000011	0.000000
SYN_METHANATION	1.464862	11.196736	0.000000
BIOMETHANATION	0.000013	0.000003	0.000000
BIO_HYDROLYSIS	88.408196	80.429923	0.000000
PYROLYSIS_TO_LFO	0.000011	0.000010	0.000000
PYROLYSIS_TO_FUELS	0.000008	0.000005	0.000000
ATM_CCS	0.000014	0.000010	0.000000
INDUSTRY_CCS	4.685875	3.479777	0.000000
