TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000084	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000078	0.961540	0.048263	0.000021
CCGT_AMMONIA	0.000089	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000106	0.630000	0.048263	0.000022
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	31482.170510	359.529393	25.000000	0.000000	49.271728	59.200000	0.000000	0.535738	1.000000	0.109815	1.000000	0.048263	102555.652499
WIND_ONSHORE	9788.200000	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.228832	1.000000	0.231112	1.000000	0.041639	6228.500000
WIND_OFFSHORE	27919.199997	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.230279	1.000000	0.387622	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005150	1.000000	0.452326	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	0.000072	0.000005	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000157	0.850000	0.048263	0.000057
IND_COGEN_WOOD	0.000076	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000074	0.850000	0.048263	0.000013
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	40.806381	0.817576	17.000000	0.000000	0.692925	Infinity	0.000000	0.107804	1.000000	0.516866	0.950000	0.067080	8.536842
IND_BOILER_WOOD	216.892894	4.337839	17.000000	0.000000	1.883078	Infinity	0.000000	0.280699	1.000000	0.495223	0.900000	0.067080	54.364454
IND_BOILER_OIL	0.000059	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000085	0.950000	0.067080	0.000013
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	3110.903721	14.112330	15.000000	0.000000	9.360606	Infinity	0.000000	0.611496	1.000000	0.217029	0.950000	0.074944	13.760090
DHN_HP_ELEC	1058.325172	35.886742	25.000000	0.000000	3.330371	Infinity	0.000000	1.000000	1.000000	0.677173	0.950000	0.048263	582.115479
DHN_COGEN_GAS	0.000066	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000044	0.850000	0.048263	0.000028
DHN_COGEN_WOOD	0.000057	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000033	0.850000	0.048263	0.000009
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000046	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000037	0.750000	0.048263	0.000037
DHN_COGEN_BIO_HYDROLYSIS	0.000079	0.000004	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000084	0.850000	0.074944	0.000012
DHN_BOILER_GAS	0.000013	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000068	0.950000	0.067080	0.000003
DHN_BOILER_WOOD	0.000021	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000055	0.900000	0.067080	0.000005
DHN_BOILER_OIL	0.000012	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000038	0.950000	0.067080	0.000003
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000055	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000075	1.000000	0.041639	0.000035
DEC_HP_ELEC	3794.939468	158.229722	18.000000	0.000000	8.367560	Infinity	0.000000	1.000000	1.000000	0.447691	1.000000	0.063806	1379.726961
DEC_THHP_GAS	0.000127	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000245	1.000000	0.058246	0.000167
DEC_COGEN_GAS	0.000098	0.000006	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000068	1.000000	0.058246	0.000077
DEC_COGEN_OIL	0.000093	0.000006	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000036	1.000000	0.058246	0.000079
DEC_ADVCOGEN_GAS	0.000170	0.000003	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000038	1.000000	0.058246	0.000066
DEC_ADVCOGEN_H2	0.000169	0.000003	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000037	1.000000	0.058246	0.000065
DEC_BOILER_GAS	0.000107	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000095	1.000000	0.067080	0.000014
DEC_BOILER_WOOD	0.000106	0.000004	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000076	1.000000	0.067080	0.000005
DEC_BOILER_OIL	0.000082	0.000005	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000055	1.000000	0.067080	0.000012
DEC_SOLAR	0.000874	0.000010	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000557	1.000000	0.058246	0.000281
DEC_DIRECT_ELEC	0.000130	0.000001	15.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000165	1.000000	0.074944	0.000005
TRAMWAY_TROLLEY	4917.254748	98.345095	30.000000	0.000000	7.867608	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000044	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000207	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000059	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000209	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3800.511442	184.927236	15.000000	0.000000	6.052155	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000032	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000097	0.296800	0.074944	0.000000
TRAIN_PUB	24586.770271	887.343693	40.000000	0.000000	16.325660	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000005	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000007	0.051370	0.108434	0.000000
CAR_DIESEL	0.000007	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000009	0.051370	0.108434	0.000000
CAR_NG	0.000008	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000011	0.051370	0.108434	0.000000
CAR_METHANOL	0.000005	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000009	0.051370	0.108434	0.000000
CAR_HEV	0.000006	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000007	0.051370	0.108434	0.000000
CAR_PHEV	0.002976	0.000219	10.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.002082	0.051370	0.108434	0.000000
CAR_BEV	48333.221927	1165.582799	10.000000	0.000000	116.558280	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000012	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000017	0.051370	0.108434	0.000000
TRAIN_FREIGHT	597.186664	11.943219	40.000000	0.000000	5.719083	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
