Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000004	0.000002	0.000000
CCGT_AMMONIA	0.000004	0.000002	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1519.438285	359.529393	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000003	0.000005	0.000000
IND_COGEN_WOOD	0.000004	0.000003	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	2.737278	0.817576	0.000000
IND_BOILER_WOOD	14.549101	4.337839	0.000000
IND_BOILER_OIL	0.000004	0.000001	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	233.144675	14.112330	0.000000
DHN_HP_ELEC	51.078428	35.886742	0.000000
DHN_COGEN_GAS	0.000003	0.000002	0.000000
DHN_COGEN_WOOD	0.000003	0.000002	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000004	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000006	0.000004	0.000000
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000001	0.000000	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000002	0.000000	0.000000
DEC_HP_ELEC	242.139079	158.229722	0.000000
DEC_THHP_GAS	0.000007	0.000004	0.000000
DEC_COGEN_GAS	0.000006	0.000006	0.000000
DEC_COGEN_OIL	0.000005	0.000006	0.000000
DEC_ADVCOGEN_GAS	0.000010	0.000003	0.000000
DEC_ADVCOGEN_H2	0.000010	0.000003	0.000000
DEC_BOILER_GAS	0.000007	0.000003	0.000000
DEC_BOILER_WOOD	0.000007	0.000004	0.000000
DEC_BOILER_OIL	0.000005	0.000005	0.000000
DEC_SOLAR	0.000051	0.000010	0.000000
DEC_DIRECT_ELEC	0.000010	0.000001	0.000000
TRAMWAY_TROLLEY	204.750496	98.345095	0.000000
BUS_COACH_DIESEL	0.000003	0.000002	0.000000
BUS_COACH_HYDIESEL	0.000004	0.000002	0.000000
BUS_COACH_CNG_STOICH	284.826881	184.927236	0.000000
