Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																						0.138552	0.000000	0.000000	0.092368	0.000000	0.230920																																																																																											-0.461840	
 1 	 2																																																																						0.055468	0.000000	0.000000	0.036979	0.000000	0.092447																																																																																											-0.184893	
 1 	 3																																																																						0.027616	0.000000	0.000000	0.018411	0.000000	0.046027																																																																																											-0.092053	
 1 	 4																																																																						0.332808	0.000000	0.000000	0.221872	0.000000	0.554680																																																																																											-1.109360	
 1 	 5																																																																						0.887488	0.000000	0.000000	0.591659	0.000000	1.479146																																																																																											-2.958293	
 1 	 6																																																																						2.218720	0.000000	0.000000	1.479146	0.000000	3.697866																																																																																											-7.395732	
 1 	 7																																																																						4.298179	0.000000	0.000000	2.865453	0.000000	7.163632																																																																																											-14.327264	
 1 	 8																																																																						3.743570	0.000000	0.000000	2.495713	0.000000	6.239283																																																																																											-12.478567	
 1 	 9																																																																						3.466277	0.000000	0.000000	2.310852	0.000000	5.777129																																																																																											-11.554258	
 1 	 10																																																																						3.882240	0.000000	0.000000	2.588160	0.000000	6.470400																																																																																											-12.940800	
 1 	 11																																																																						4.436826	0.000000	0.000000	2.957884	0.000000	7.394709																																																																																											-14.789418	
 1 	 12																																																																						4.880522	0.000000	0.000000	3.253681	0.000000	8.134204																																																																																											-16.268407	
 1 	 13																																																																						4.436826	0.000000	0.000000	2.957884	0.000000	7.394709																																																																																											-14.789418	
 1 	 14																																																																						4.492294	0.000000	0.000000	2.994862	0.000000	7.487156																																																																																											-14.974312	
 1 	 15																																																																						5.046903	0.000000	0.000000	3.364602	0.000000	8.411504																																																																																											-16.823009	
 1 	 16																																																																						5.268751	0.000000	0.000000	3.512501	0.000000	8.781252																																																																																											-17.562503	
 1 	 17																																																																						5.268751	0.000000	0.000000	3.512501	0.000000	8.781252																																																																																											-17.562503	
 1 	 18																																																																						3.882240	0.000000	0.000000	2.588160	0.000000	6.470400																																																																																											-12.940800	
 1 	 19																																																																						2.773022	0.000000	0.000000	1.848681	0.000000	4.621703																																																																																											-9.243406	
 1 	 20																																																																						2.079460	0.000000	0.000000	1.386306	0.000000	3.465766																																																																																											-6.931532	
 1 	 21																																																																						1.385520	0.000000	0.000000	0.923680	0.000000	2.309199																																																																																											-4.618399	
 1 	 22																																																																						0.887488	0.000000	0.000000	0.591659	0.000000	1.479146																																																																																											-2.958293	
 1 	 23																																																																						0.554680	0.000000	0.000000	0.369787	0.000000	0.924466																																																																																											-1.848933	
 1 	 24																																																																						0.221872	0.000000	0.000000	0.147915	0.000000	0.369787																																																																																											-0.739573	
 2 	 1																																																																						0.138552	0.000000	0.000000	0.092368	0.000000	0.230920																																																																																											-0.461840	
 2 	 2																																																																						0.055468	0.000000	0.000000	0.036979	0.000000	0.092447																																																																																											-0.184893	
 2 	 3																																																																						0.027616	0.000000	0.000000	0.018411	0.000000	0.046027																																																																																											-0.092053	
 2 	 4																																																																						0.332808	0.000000	0.000000	0.221872	0.000000	0.554680																																																																																											-1.109360	
 2 	 5																																																																						0.887488	0.000000	0.000000	0.591659	0.000000	1.479146																																																																																											-2.958293	
 2 	 6																																																																						2.218720	0.000000	0.000000	1.479146	0.000000	3.697866																																																																																											-7.395732	
 2 	 7																																																																						4.298179	0.000000	0.000000	2.865453	0.000000	7.163632																																																																																											-14.327264	
 2 	 8																																																																						3.743570	0.000000	0.000000	2.495713	0.000000	6.239283																																																																																											-12.478567	
 2 	 9																																																																						3.466277	0.000000	0.000000	2.310852	0.000000	5.777129																																																																																											-11.554258	
 2 	 10																																																																						3.882240	0.000000	0.000000	2.588160	0.000000	6.470400																																																																																											-12.940800	
 2 	 11																																																																						4.436826	0.000000	0.000000	2.957884	0.000000	7.394709																																																																																											-14.789418	
 2 	 12																																																																						4.880522	0.000000	0.000000	3.253681	0.000000	8.134204																																																																																											-16.268407	
 2 	 13																																																																						4.436826	0.000000	0.000000	2.957884	0.000000	7.394709																																																																																											-14.789418	
 2 	 14																																																																						4.492294	0.000000	0.000000	2.994862	0.000000	7.487156																																																																																											-14.974312	
 2 	 15																																																																						5.046903	0.000000	0.000000	3.364602	0.000000	8.411504																																																																																											-16.823009	
 2 	 16																																																																						5.268751	0.000000	0.000000	3.512501	0.000000	8.781252																																																																																											-17.562503	
