source,target,realValue,layerID,layerColor,layerUnit
Imp. Methanol RE,Methanol,23.61,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.49,Methanol,#CC0066,TWh
Methanol,MTO,22.12,Methanol,#CC0066,TWh
Heat HT,MTO,5.88,Heat HT,#DC143C,TWh
MTO,HVC,17.83,HVC,#00FFFF,TWh
HVC,Non-energy demand,17.83,HVC,#00FFFF,TWh
Imp. Bio-diesel,Diesel,2.02,Diesel,#D3D3D3,TWh
Diesel,Freight,2.02,Diesel,#D3D3D3,TWh
Gas Prod,Gas sto.,1.63,GAS,#FFD700,TWh
Gas sto.,Gas,1.59,GAS,#FFD700,TWh
Gas Prod,Gas,5.59,GAS,#FFD700,TWh
Gas,Mob public,3.81,GAS,#FFD700,TWh
Gas,Boilers,3.38,GAS,#FFD700,TWh
Electricity,Elec,20.84,Electricity,#00BFFF,TWh
Wind,Elec,40.62,Wind,#27AE34,TWh
Hydro River,Elec,0.46,Hydro River,#0000FF,TWh
Solar,Elec,51.24,Solar,#FFFF00,TWh
Wood,Boilers,9.45,Wood,#CD853F,TWh
Wet biomass,Biomethanation,14.10,Wood,#CD853F,TWh
Biomethanation,Gas Prod,5.96,GAS,#FFD700,TWh
Biomethanation,Elec,0.56,Electricity,#00BFFF,TWh
Elec,Mob priv,6.66,Electricity,#00BFFF,TWh
Elec,Mob public,3.62,Electricity,#00BFFF,TWh
Elec,Freight,1.05,Electricity,#00BFFF,TWh
Elec,Exp & Loss,5.16,Electricity,#00BFFF,TWh
Elec,Curt.,3.57,Electricity,#00BFFF,TWh
Elec,Elec demand,53.06,Electricity,#00BFFF,TWh
Solar,Curt.,3.84,Solar,#FFFF00,TWh
Wind,Curt.,2.35,Wind,#27AE34,TWh
Elec,Storage,1.26,Electricity,#00BFFF,TWh
Storage,Elec demand,0.91,Electricity,#00BFFF,TWh
Elec,HPs,15.01,Electricity,#00BFFF,TWh
Elec,HT sto,10.61,Electricity,#00BFFF,TWh
HT sto,Heat HT,10.55,Heat HT,#DC143C,TWh
Elec,Heat HT,7.19,Electricity,#00BFFF,TWh
Elec,Electrolyser,1.62,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,0.29,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,1.50,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.03,Heat LT,#FA8072,TWh
Imp. H2 RE,H2,11.52,H2,#FF00FF,TWh
H2 prod,H2,1.50,H2,#FF00FF,TWh
H2,Freight,11.52,H2,#FF00FF,TWh
H2,Gas Prod,1.50,H2,#FF00FF,TWh
HPs,Dec. sto,5.82,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,27.00,Heat LT,#FA8072,TWh
HPs,DHN,19.76,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,5.36,Heat LT,#FA8072,TWh
Boilers,Heat HT,11.31,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,13.26,Heat LT,#FA8072,TWh
DHN,Loss DHN,1.01,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.89,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,5.74,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,22.87,Heat HT,#DC143C,TWh
