TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000655	0.000017	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001211	0.961540	0.048263	0.000160
CCGT_AMMONIA	73.405196	1.859125	25.000000	0.000000	0.097760	Infinity	0.000000	0.004421	1.000000	0.539727	0.630000	0.048263	17.967346
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37809.863990	431.792256	25.000000	0.000000	59.174996	59.200000	0.000000	0.585245	1.000000	0.118044	1.000000	0.048263	123168.612888
WIND_ONSHORE	9788.199999	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.201283	1.000000	0.240242	1.000000	0.041639	6228.500000
WIND_OFFSHORE	27919.199997	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.204461	1.000000	0.406727	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165798	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004590	1.000000	0.476349	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	8516.087696	547.404078	25.000000	0.000000	6.501823	Infinity	0.000000	0.636293	1.000000	0.792391	0.850000	0.048263	6659.947281
IND_COGEN_WOOD	0.000570	0.000021	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000948	0.850000	0.048263	0.000094
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	100.408856	2.011741	17.000000	0.000000	1.705024	Infinity	0.000000	0.084154	1.000000	0.399636	0.950000	0.067080	21.005894
IND_BOILER_WOOD	134.724724	2.694483	17.000000	0.000000	1.169689	Infinity	0.000000	0.115173	1.000000	0.797258	0.900000	0.067080	33.768908
IND_BOILER_OIL	0.000312	0.000007	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.000809	0.950000	0.067080	0.000070
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	5867.118286	26.615645	15.000000	0.000000	17.653964	Infinity	0.000000	0.164380	1.000000	0.075392	0.950000	0.074944	25.951327
DHN_HP_ELEC	2389.592203	81.028667	25.000000	0.000000	7.519643	Infinity	0.000000	1.000000	1.000000	0.682333	0.950000	0.048263	1314.358428
DHN_COGEN_GAS	0.000484	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000539	0.850000	0.048263	0.000204
DHN_COGEN_WOOD	0.000397	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000295	0.850000	0.048263	0.000065
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000377	0.000031	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000290	0.750000	0.048263	0.000302
DHN_COGEN_BIO_HYDROLYSIS	0.000760	0.000037	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001184	0.850000	0.074944	0.000117
DHN_BOILER_GAS	0.000073	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000447	0.950000	0.067080	0.000015
DHN_BOILER_WOOD	0.000127	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000445	0.900000	0.067080	0.000032
DHN_BOILER_OIL	0.000067	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000293	0.950000	0.067080	0.000015
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000132	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000170	1.000000	0.041639	0.000084
DEC_HP_ELEC	8432.226783	351.581076	18.000000	0.000000	18.592434	Infinity	0.000000	1.000000	1.000000	0.450393	1.000000	0.063806	3065.706512
DEC_THHP_GAS	0.000867	0.000025	20.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.003298	1.000000	0.058246	0.001138
DEC_COGEN_GAS	0.000658	0.000042	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000657	1.000000	0.058246	0.000515
DEC_COGEN_OIL	0.000611	0.000037	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000274	1.000000	0.058246	0.000515
DEC_ADVCOGEN_GAS	0.001177	0.000022	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000383	1.000000	0.058246	0.000457
DEC_ADVCOGEN_H2	0.001202	0.000022	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000428	1.000000	0.058246	0.000466
DEC_BOILER_GAS	0.000635	0.000019	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000640	1.000000	0.067080	0.000085
DEC_BOILER_WOOD	0.000682	0.000024	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000581	1.000000	0.067080	0.000031
DEC_BOILER_OIL	0.000502	0.000030	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000366	1.000000	0.067080	0.000074
DEC_SOLAR	0.002677	0.000030	20.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001858	1.000000	0.058246	0.000860
DEC_DIRECT_ELEC	0.000566	0.000002	15.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.000522	1.000000	0.074944	0.000022
TRAMWAY_TROLLEY	2040.603373	40.812067	30.000000	0.000000	3.264965	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000443	0.000021	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002083	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000529	0.000020	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001969	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	1577.166882	76.742596	15.000000	0.000000	2.511572	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000296	0.000009	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001101	0.296800	0.074944	0.000000
TRAIN_PUB	10203.223026	368.237288	40.000000	0.000000	6.774959	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000058	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000097	0.051370	0.108434	0.000000
CAR_DIESEL	0.000047	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000090	0.051370	0.108434	0.000000
CAR_NG	0.000076	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000161	0.051370	0.108434	0.000000
CAR_METHANOL	0.000041	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000076	0.051370	0.108434	0.000000
CAR_HEV	0.000044	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000087	0.051370	0.108434	0.000000
CAR_PHEV	0.018916	0.001393	10.000000	0.000000	0.000041	Infinity	0.000000	0.000000	1.000000	0.013207	0.051370	0.108434	0.000000
CAR_BEV	116677.238248	2813.737146	10.000000	0.000000	281.373715	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000095	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000204	0.051370	0.108434	0.000000
TRAIN_FREIGHT	807.210506	16.143514	40.000000	0.000000	7.730420	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
