Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000032	0.000017	0.000000
CCGT_AMMONIA	3.542788	1.859125	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834628	431.792256	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	411.015806	547.404078	0.000000
IND_COGEN_WOOD	0.000028	0.000021	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	6.735392	2.011741	0.000000
IND_BOILER_WOOD	9.037288	2.694483	0.000000
IND_BOILER_OIL	0.000021	0.000007	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	439.707399	26.615645	0.000000
DHN_HP_ELEC	115.329973	81.028667	0.000000
DHN_COGEN_GAS	0.000023	0.000014	0.000000
DHN_COGEN_WOOD	0.000019	0.000015	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000018	0.000031	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000057	0.000037	0.000000
DHN_BOILER_GAS	0.000005	0.000001	0.000000
DHN_BOILER_WOOD	0.000009	0.000003	0.000000
DHN_BOILER_OIL	0.000005	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000	0.000000
DEC_HP_ELEC	538.024822	351.581076	0.000000
DEC_THHP_GAS	0.000050	0.000025	0.000000
DEC_COGEN_GAS	0.000038	0.000042	0.000000
DEC_COGEN_OIL	0.000036	0.000037	0.000000
DEC_ADVCOGEN_GAS	0.000069	0.000022	0.000000
DEC_ADVCOGEN_H2	0.000070	0.000022	0.000000
DEC_BOILER_GAS	0.000043	0.000019	0.000000
DEC_BOILER_WOOD	0.000046	0.000024	0.000000
DEC_BOILER_OIL	0.000034	0.000030	0.000000
DEC_SOLAR	0.000156	0.000030	0.000000
DEC_DIRECT_ELEC	0.000042	0.000002	0.000000
TRAMWAY_TROLLEY	84.969068	40.812067	0.000000
BUS_COACH_DIESEL	0.000033	0.000021	0.000000
BUS_COACH_HYDIESEL	0.000040	0.000020	0.000000
BUS_COACH_CNG_STOICH	118.199756	76.742596	0.000000
BUS_COACH_FC_HYBRIDH2	0.000022	0.000009	0.000000
TRAIN_PUB	341.064174	368.237288	0.000000
CAR_GASOLINE	0.000006	0.000003	0.000000
CAR_DIESEL	0.000005	0.000002	0.000000
CAR_NG	0.000008	0.000004	0.000000
CAR_METHANOL	0.000004	0.000002	0.000000
CAR_HEV	0.000005	0.000003	0.000000
CAR_PHEV	0.002051	0.001393	0.000000
CAR_BEV	12651.800405	2813.737146	0.000000
CAR_FUEL_CELL	0.000010	0.000002	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	73.488390	106.290049	0.000000
BOAT_FREIGHT_NG	0.000001	0.000002	0.000000
BOAT_FREIGHT_METHANOL	0.000003	0.000004	0.000000
TRUCK_DIESEL	0.000002	0.000001	0.000000
TRUCK_METHANOL	0.000008	0.000005	0.000000
TRUCK_FUEL_CELL	1561.513293	621.044304	0.000000
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000030	0.000010	0.000000
SYN_METHANOLATION	0.000031	0.000015	0.000000
METHANE_TO_METHANOL	0.000021	0.000019	0.000000
BIOMASS_TO_METHANOL	0.000037	0.000010	0.000000
OIL_TO_HVC	0.000036	0.000003	0.000000
GAS_TO_HVC	0.000024	0.000012	0.000000
BIOMASS_TO_HVC	0.000030	0.000016	0.000000
METHANOL_TO_HVC	183.787276	283.982495	0.000000
PHS	10.919887	0.000000	0.000000
BATT_LI	0.001160	0.000024	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000079	0.000010	0.000000
TS_DEC_HP_ELEC	59.528967	7.154758	0.000000
TS_DEC_THHP_GAS	0.000079	0.000010	0.000000
TS_DEC_COGEN_GAS	0.000079	0.000009	0.000000
TS_DEC_COGEN_OIL	0.000078	0.000009	0.000000
TS_DEC_ADVCOGEN_GAS	0.000078	0.000009	0.000000
TS_DEC_ADVCOGEN_H2	0.000079	0.000009	0.000000
TS_DEC_BOILER_GAS	0.000079	0.000009	0.000000
TS_DEC_BOILER_WOOD	0.000078	0.000009	0.000000
TS_DEC_BOILER_OIL	0.000078	0.000009	0.000000
TS_DHN_DAILY	0.000099	0.000008	0.000000
TS_DHN_SEASONAL	23.299749	2.627338	0.000000
TS_HIGH_TEMP	87.907211	19.494148	0.000000
GAS_STORAGE	35.996730	33.008707	0.000000
H2_STORAGE	0.000524	0.000567	0.000000
DIESEL_STORAGE	0.000569	0.000391	0.000000
GASOLINE_STORAGE	0.000567	0.000390	0.000000
LFO_STORAGE	0.000567	0.000390	0.000000
AMMONIA_STORAGE	0.000567	0.000389	0.000000
METHANOL_STORAGE	0.000567	0.000389	0.000000
CO2_STORAGE	0.000937	0.000225	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
