Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																							6.501823	0.000000		0.000003	1.169685	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.952864	10.369853																	-6.474121	
 1 	 2																																							6.501823	0.000000		0.000003	1.169685	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.944748	10.361737																	-6.474121	
 1 	 3																																							6.501823	0.000000		0.000003	1.169685	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.945215	10.362204																	-6.474121	
 1 	 4																																							6.501823	0.000000		0.000003	1.169686	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.955893	10.372882																	-6.474121	
 1 	 5																																							6.501823	0.000000		0.000003	1.169686	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.948654	10.365643																	-6.474121	
 1 	 6																																							6.501823	0.000000		0.000003	1.169686	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.943248	10.360236																	-6.474121	
 1 	 7																																							6.501823	0.000000		0.000004	1.169686	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.945711	10.362698																	-6.474121	
 1 	 8																																							6.501823	0.000000		0.000004	1.169686	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.950689	10.367676																	-6.474121	
 1 	 9																																							6.501823	0.000000		0.000004	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.950034	10.367021																	-6.474121	
 1 	 10																																							6.501823	0.000000		0.000004	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.948314	10.365300																	-6.474121	
 1 	 11																																							6.501823	0.000000		0.000004	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.943888	10.360874																	-6.474121	
 1 	 12																																							6.501823	0.000000		0.000004	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.943698	10.360684																	-6.474121	
 1 	 13																																							6.501823	0.000000		0.000004	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.944117	10.361103																	-6.474121	
 1 	 14																																							6.501823	0.000000		0.000005	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.944747	10.361732																	-6.474121	
 1 	 15																																							6.501823	0.000000		0.000010	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.942775	10.359755																	-6.474121	
 1 	 16																																							6.501823	0.000000		0.000014	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.936923	10.353899																	-6.474121	
 1 	 17																																							6.501823	0.000000		0.000022	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.937304	10.354271																	-6.474121	
 1 	 18																																							6.501823	0.000000		0.000047	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-9.948535	10.365477																	-6.474121	
 1 	 19																																							6.501823	0.000000		1.661920	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-10.797275	9.552345																	-6.474121	
 1 	 20																																							6.501823	0.000000		1.704920	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-10.802212	9.514282																	-6.474121	
 1 	 21																																							6.501823	0.000000		1.704997	1.169687	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-10.802165	9.514157																	-6.474121	
 1 	 22																																							6.501823	0.000000		1.705009	1.169688	0.000000			0.000000																																																		-0.000000		-0.000000	-1.614379				-0.000000											-0.000000																																	-10.809271	9.521251																	-6.474121	
