Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						2.065407													-1.348602	-0.716804																																																																																																																																		0.000000	
 1 	 2																						2.571235													-1.621575	-0.949660																																																																																																																																		0.000000	
 1 	 3																						3.432252													-2.296613	-1.135639																																																																																																																																		0.000000	
 1 	 4																						4.056704													-2.901627	-1.155078																																																																																																																																		0.000000	
 1 	 5																						3.888596													-2.754377	-1.134219																																																																																																																																		0.000000	
 1 	 6																						3.762481													-2.657556	-1.104925																																																																																																																																		0.000000	
 1 	 7																						3.314743													-2.531377	-0.783366																																																																																																																																		0.000000	
 1 	 8																						4.063825													-3.225801	-0.838024																																																																																																																																		0.000000	
 1 	 9																						4.587414													-3.601388	-0.986026																																																																																																																																		0.000000	
 1 	 10																						5.563352													-4.405626	-1.157726																																																																																																																																		0.000000	
 1 	 11																						5.160416													-4.019890	-1.140526																																																																																																																																		0.000000	
 1 	 12																						5.488861													-3.759630	-1.729231																																																																																																																																		0.000000	
 1 	 13																						5.897511													-3.508045	-2.389467																																																																																																																																		0.000000	
 1 	 14																						5.265679													-2.514275	-2.751404																																																																																																																																		0.000000	
 1 	 15																						5.266492													-1.942027	-3.324466																																																																																																																																		0.000000	
 1 	 16																						6.755518													-2.152489	-4.603029																																																																																																																																		0.000000	
 1 	 17																						8.779139													-3.082379	-5.696760																																																																																																																																		0.000000	
 1 	 18																						10.668525													-4.209176	-6.459349																																																																																																																																		0.000000	
 1 	 19																						10.094931													-4.617458	-5.477473																																																																																																																																		0.000000	
 1 	 20																						11.179419													-5.686275	-5.493144																																																																																																																																		0.000000	
 1 	 21																						11.352060													-5.955700	-5.396360																																																																																																																																		0.000000	
 1 	 22																						10.481176													-5.214254	-5.266923																																																																																																																																		0.000000	
 1 	 23																						8.800265													-4.060592	-4.739673																																																																																																																																		0.000000	
 1 	 24																						6.108592													-3.061484	-3.047108																																																																																																																																		0.000000	
 2 	 1																						2.866362													-1.356855	-1.509507																																																																																																																																		0.000000	
 2 	 2																						1.866615													-0.822956	-1.043660																																																																																																																																		0.000000	
 2 	 3																						1.292047													-0.535901	-0.756146																																																																																																																																		0.000000	
 2 	 4																						1.139111													-0.432654	-0.706457																																																																																																																																		0.000000	
 2 	 5																						0.945588													-0.326387	-0.619201																																																																																																																																		0.000000	
 2 	 6																						0.843345													-0.270830	-0.572515																																																																																																																																		0.000000	
 2 	 7																						0.741747													-0.226265	-0.515482																																																																																																																																		0.000000	
 2 	 8																						0.646578													-0.219171	-0.427407																																																																																																																																		0.000000	
 2 	 9																						0.545710													-0.199716	-0.345994																																																																																																																																		0.000000	
 2 	 10																						0.465855													-0.239715	-0.226139																																																																																																																																		0.000000	
 2 	 11																						0.460119													-0.225352	-0.234767																																																																																																																																		0.000000	
 2 	 12																						0.472593													-0.149778	-0.322814																																																																																																																																		0.000000	
 2 	 13																						0.394193													-0.122597	-0.271597																																																																																																																																		0.000000	
 2 	 14																						0.195374													-0.085021	-0.110353																																																																																																																																		0.000000	
 2 	 15																						0.112667													-0.071360	-0.041307																																																																																																																																		0.000000	
 2 	 16																						0.139708													-0.098401	-0.041307																																																																																																																																		0.000000	
 2 	 17																						0.149865													-0.108585	-0.041280																																																																																																																																		0.000000	
 2 	 18																						0.184140													-0.142860	-0.041280																																																																																																																																		0.000000	
 2 	 19																						0.339303													-0.297941	-0.041362																																																																																																																																		0.000000	
 2 	 20																						0.720665													-0.679358	-0.041307																																																																																																																																		0.000000	
 2 	 21																						0.800516													-0.759181	-0.041335																																																																																																																																		0.000000	
 2 	 22																						0.829945													-0.788610	-0.041335																																																																																																																																		0.000000	
 2 	 23																						0.907310													-0.865975	-0.041335																																																																																																																																		0.000000	
 2 	 24																						0.763860													-0.722553	-0.041307																																																																																																																																		0.000000	
 3 	 1																						0.515921													-0.478026	-0.037895																																																																																																																																		0.000000	
 3 	 2																						0.423491													-0.385596	-0.037895																																																																																																																																		0.000000	
 3 	 3																						0.583594													-0.545699	-0.037895																																																																																																																																		0.000000	
 3 	 4																						0.720905													-0.683010	-0.037895																																																																																																																																		0.000000	
 3 	 5																						1.145341													-1.107447	-0.037895																																																																																																																																		0.000000	
 3 	 6																						1.231486													-1.193591	-0.037895																																																																																																																																		0.000000	
