source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,11.46,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.56,Ammonia,#000ECD,TWh
Ammonia,Elec,0.90,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,54.78,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.60,Methanol,#CC0066,TWh
Methanol,MTO,53.19,Methanol,#CC0066,TWh
Heat HT,MTO,14.14,Heat HT,#DC143C,TWh
MTO,HVC,42.85,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.85,HVC,#00FFFF,TWh
Imp. Bio-diesel,Diesel,2.74,Diesel,#D3D3D3,TWh
Diesel,Freight,2.74,Diesel,#D3D3D3,TWh
Imp. Gas RE,Gas,100.44,Gas,#FFD700,TWh
Gas Prod,Gas sto.,18.65,GAS,#FFD700,TWh
Gas sto.,Gas,18.27,GAS,#FFD700,TWh
Gas Prod,Gas,-12.68,GAS,#FFD700,TWh
Gas,Mob public,1.58,GAS,#FFD700,TWh
Gas,CHP,98.11,GAS,#FFD700,TWh
Gas,Boilers,6.44,GAS,#FFD700,TWh
Electricity,Elec,32.44,Electricity,#00BFFF,TWh
Wind,Elec,42.42,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Wood,Boilers,9.45,Wood,#CD853F,TWh
Wet biomass,Biomethanation,14.10,Wood,#CD853F,TWh
Biomethanation,Gas Prod,5.96,GAS,#FFD700,TWh
Biomethanation,Elec,0.56,Electricity,#00BFFF,TWh
Elec,Mob priv,16.08,Electricity,#00BFFF,TWh
Elec,Mob public,1.50,Electricity,#00BFFF,TWh
Elec,Freight,1.42,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.49,Electricity,#00BFFF,TWh
Elec,Curt.,0.24,Electricity,#00BFFF,TWh
Elec,Elec demand,104.76,Electricity,#00BFFF,TWh
Solar,Curt.,0.34,Solar,#FFFF00,TWh
Wind,Curt.,0.54,Wind,#27AE34,TWh
Elec,Storage,0.54,Electricity,#00BFFF,TWh
Storage,Elec demand,0.41,Electricity,#00BFFF,TWh
Elec,HPs,33.73,Electricity,#00BFFF,TWh
Elec,HT sto,8.21,Electricity,#00BFFF,TWh
HT sto,Heat HT,8.14,Heat HT,#DC143C,TWh
Elec,Heat HT,3.44,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,15.57,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,-0.00,H2,#FF00FF,TWh
H2,Freight,15.57,H2,#FF00FF,TWh
CHP,Elec,43.17,Electricity,#00BFFF,TWh
CHP,Heat HT,45.13,Heat HT,#DC143C,TWh
HPs,Dec. sto,14.44,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,58.91,Heat LT,#FA8072,TWh
HPs,DHN,44.95,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,13.37,Heat LT,#FA8072,TWh
Boilers,Heat HT,14.14,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,29.64,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.25,Heat LT,#FA8072,TWh
DHN,DHN Sto,13.06,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,12.81,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,56.71,Heat HT,#DC143C,TWh
