TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.001508	0.000038	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002870	0.961540	0.048263	0.000369
CCGT_AMMONIA	0.012258	0.000310	25.000000	0.000000	0.000016	Infinity	0.000000	0.000001	1.000000	0.101577	0.630000	0.048263	0.003000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37809.860594	431.792218	25.000000	0.000000	59.174991	59.200000	0.000000	0.587811	1.000000	0.117567	1.000000	0.048263	123168.601825
WIND_ONSHORE	9788.199999	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.202248	1.000000	0.239370	1.000000	0.041639	6228.499999
WIND_OFFSHORE	27919.199994	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.205340	1.000000	0.405048	1.000000	0.041639	3737.099999
HYDRO_RIVER	580.165796	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004600	1.000000	0.473468	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	5160.919060	331.737793	25.000000	0.000000	3.940234	Infinity	0.000000	0.483779	1.000000	0.748356	0.850000	0.048263	4036.060934
IND_COGEN_WOOD	0.001287	0.000047	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001905	0.850000	0.048263	0.000212
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	80.819549	1.619259	17.000000	0.000000	1.372382	Infinity	0.000000	0.146117	1.000000	0.648945	0.950000	0.067080	16.907741
IND_BOILER_WOOD	133.805718	2.676103	17.000000	0.000000	1.161710	Infinity	0.000000	0.152998	1.000000	0.802732	0.900000	0.067080	33.538558
IND_BOILER_OIL	0.000849	0.000018	17.000000	0.000000	0.000015	Infinity	0.000000	0.000000	1.000000	0.001661	0.950000	0.067080	0.000191
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	5298.471487	24.036031	15.000000	0.000000	15.942924	Infinity	0.000000	0.217107	1.000000	0.083002	0.950000	0.074944	23.436099
DHN_HP_ELEC	2131.164123	72.265631	25.000000	0.000000	6.706414	Infinity	0.000000	1.000000	1.000000	0.667925	0.950000	0.048263	1172.214038
DHN_COGEN_GAS	0.001102	0.000032	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001177	0.850000	0.048263	0.000463
DHN_COGEN_WOOD	0.000919	0.000034	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000645	0.850000	0.048263	0.000151
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000924	0.000075	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000668	0.750000	0.048263	0.000740
DHN_COGEN_BIO_HYDROLYSIS	0.001879	0.000092	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002941	0.850000	0.074944	0.000288
DHN_BOILER_GAS	0.000181	0.000004	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000994	0.950000	0.067080	0.000038
DHN_BOILER_WOOD	0.000331	0.000007	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000995	0.900000	0.067080	0.000083
DHN_BOILER_OIL	0.000167	0.000004	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000632	0.950000	0.067080	0.000037
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000324	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000411	1.000000	0.041639	0.000206
DEC_HP_ELEC	7666.257994	319.644063	18.000000	0.000000	16.903530	Infinity	0.000000	1.000000	1.000000	0.433144	1.000000	0.063806	2787.223074
DEC_THHP_GAS	0.002071	0.000061	20.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.007347	1.000000	0.058246	0.002718
DEC_COGEN_GAS	0.001566	0.000101	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001507	1.000000	0.058246	0.001224
DEC_COGEN_OIL	0.001443	0.000089	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000645	1.000000	0.058246	0.001217
DEC_ADVCOGEN_GAS	0.002772	0.000052	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000890	1.000000	0.058246	0.001076
DEC_ADVCOGEN_H2	0.002837	0.000053	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001000	1.000000	0.058246	0.001101
DEC_BOILER_GAS	0.001585	0.000048	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.001442	1.000000	0.067080	0.000211
DEC_BOILER_WOOD	0.001631	0.000057	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001298	1.000000	0.067080	0.000074
DEC_BOILER_OIL	0.001231	0.000074	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.000848	1.000000	0.067080	0.000182
DEC_SOLAR	0.006710	0.000074	20.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.004629	1.000000	0.058246	0.002155
DEC_DIRECT_ELEC	0.001703	0.000007	15.000000	0.000000	0.000045	Infinity	0.000000	0.000000	1.000000	0.001215	1.000000	0.074944	0.000066
TRAMWAY_TROLLEY	2095.879996	41.917600	30.000000	0.000000	3.353408	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.001450	0.000070	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.007007	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.001280	0.000050	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004674	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	1619.888443	78.821363	15.000000	0.000000	2.579605	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.001452	0.000043	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004629	0.296800	0.074944	0.000000
TRAIN_PUB	10479.609080	378.212141	40.000000	0.000000	6.958479	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000135	0.000007	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000210	0.051370	0.108434	0.000000
CAR_DIESEL	0.000092	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000100	0.051370	0.108434	0.000000
CAR_NG	0.000286	0.000016	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000455	0.051370	0.108434	0.000000
CAR_METHANOL	0.000076	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000069	0.051370	0.108434	0.000000
CAR_HEV	0.000102	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000182	0.051370	0.108434	0.000000
CAR_PHEV	0.045001	0.003315	10.000000	0.000000	0.000097	Infinity	0.000000	0.000000	1.000000	0.031685	0.051370	0.108434	0.000000
CAR_BEV	116248.784833	2803.404752	10.000000	0.000000	280.340475	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000197	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000391	0.051370	0.108434	0.000000
TRAIN_FREIGHT	682.026669	13.639946	40.000000	0.000000	6.531571	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
