Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000073	0.000038	0.000000
CCGT_AMMONIA	0.000592	0.000310	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834464	431.792218	0.000000
WIND_ONSHORE	407.572702	113.845000	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	249.083779	331.737793	0.000000
IND_COGEN_WOOD	0.000062	0.000047	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	5.421348	1.619259	0.000000
IND_BOILER_WOOD	8.975642	2.676103	0.000000
IND_BOILER_OIL	0.000057	0.000018	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	397.090532	24.036031	0.000000
DHN_HP_ELEC	102.857341	72.265631	0.000000
DHN_COGEN_GAS	0.000053	0.000032	0.000000
DHN_COGEN_WOOD	0.000044	0.000034	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000045	0.000075	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000141	0.000092	0.000000
DHN_BOILER_GAS	0.000012	0.000004	0.000000
DHN_BOILER_WOOD	0.000022	0.000007	0.000000
DHN_BOILER_OIL	0.000011	0.000004	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000013	0.000000	0.000000
DEC_HP_ELEC	489.151585	319.644063	0.000000
DEC_THHP_GAS	0.000121	0.000061	0.000000
DEC_COGEN_GAS	0.000091	0.000101	0.000000
DEC_COGEN_OIL	0.000084	0.000089	0.000000
DEC_ADVCOGEN_GAS	0.000161	0.000052	0.000000
DEC_ADVCOGEN_H2	0.000165	0.000053	0.000000
DEC_BOILER_GAS	0.000106	0.000048	0.000000
DEC_BOILER_WOOD	0.000109	0.000057	0.000000
DEC_BOILER_OIL	0.000083	0.000074	0.000000
DEC_SOLAR	0.000391	0.000074	0.000000
DEC_DIRECT_ELEC	0.000128	0.000007	0.000000
TRAMWAY_TROLLEY	87.270742	41.917600	0.000000
BUS_COACH_DIESEL	0.000109	0.000070	0.000000
BUS_COACH_HYDIESEL	0.000096	0.000050	0.000000
BUS_COACH_CNG_STOICH	121.401496	78.821363	0.000000
BUS_COACH_FC_HYBRIDH2	0.000109	0.000043	0.000000
TRAIN_PUB	350.302958	378.212141	0.000000
CAR_GASOLINE	0.000015	0.000007	0.000000
CAR_DIESEL	0.000010	0.000005	0.000000
CAR_NG	0.000031	0.000016	0.000000
CAR_METHANOL	0.000008	0.000004	0.000000
CAR_HEV	0.000011	0.000008	0.000000
CAR_PHEV	0.004880	0.003315	0.000000
CAR_BEV	12605.341411	2803.404752	0.000000
CAR_FUEL_CELL	0.000021	0.000003	0.000000
TRAIN_FREIGHT	22.798175	13.639946	0.000000
BOAT_FREIGHT_DIESEL	62.091661	89.806373	0.000000
BOAT_FREIGHT_NG	0.000003	0.000004	0.000000
BOAT_FREIGHT_METHANOL	0.000002	0.000002	0.000000
TRUCK_DIESEL	0.000002	0.000001	0.000000
TRUCK_METHANOL	0.000022	0.000014	0.000000
TRUCK_FUEL_CELL	1319.350660	524.731500	0.000000
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	0.000071	0.000024	0.000000
SYN_METHANOLATION	0.000078	0.000038	0.000000
METHANE_TO_METHANOL	0.000050	0.000046	0.000000
BIOMASS_TO_METHANOL	0.000086	0.000023	0.000000
OIL_TO_HVC	0.000083	0.000006	0.000000
GAS_TO_HVC	0.000057	0.000029	0.000000
BIOMASS_TO_HVC	0.000070	0.000036	0.000000
METHANOL_TO_HVC	170.697494	263.756563	0.000000
PHS	10.919447	0.000000	0.000000
BATT_LI	144.733340	2.985697	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000235	0.000028	0.000000
TS_DEC_HP_ELEC	59.708278	7.176309	0.000000
TS_DEC_THHP_GAS	0.000235	0.000028	0.000000
TS_DEC_COGEN_GAS	0.000234	0.000028	0.000000
TS_DEC_COGEN_OIL	0.000234	0.000028	0.000000
TS_DEC_ADVCOGEN_GAS	0.000233	0.000028	0.000000
TS_DEC_ADVCOGEN_H2	0.000235	0.000028	0.000000
TS_DEC_BOILER_GAS	0.000235	0.000028	0.000000
TS_DEC_BOILER_WOOD	0.000235	0.000028	0.000000
TS_DEC_BOILER_OIL	0.000234	0.000028	0.000000
TS_DHN_DAILY	0.000311	0.000027	0.000000
TS_DHN_SEASONAL	21.506120	2.425084	0.000000
TS_HIGH_TEMP	100.967218	22.390312	0.000000
GAS_STORAGE	21.373141	19.598996	0.000000
H2_STORAGE	0.001450	0.001568	0.000000
DIESEL_STORAGE	0.001064	0.000731	0.000000
GASOLINE_STORAGE	0.001070	0.000735	0.000000
LFO_STORAGE	0.001076	0.000739	0.000000
AMMONIA_STORAGE	0.001068	0.000733	0.000000
METHANOL_STORAGE	0.001077	0.000740	0.000000
CO2_STORAGE	0.002672	0.000642	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	140.646703	0.000000	0.000000
GRID	2210.177490	0.000000	0.000000
H2_ELECTROLYSIS	0.000203	0.000074	0.000000
SMR	0.000037	0.000071	0.000000
H2_BIOMASS	0.000043	0.000062	0.000000
GASIFICATION_SNG	0.000051	0.000075	0.000000
SYN_METHANATION	0.000013	0.000101	0.000000
BIOMETHANATION	0.000088	0.000021	0.000000
BIO_HYDROLYSIS	88.408102	80.429838	0.000000
PYROLYSIS_TO_LFO	0.000075	0.000071	0.000000
PYROLYSIS_TO_FUELS	0.000059	0.000034	0.000000
ATM_CCS	0.000061	0.000046	0.000000
INDUSTRY_CCS	0.000067	0.000049	0.000000
AMMONIA_TO_H2	0.000042	0.000081	0.000000
ELECTRICITY	0.000000	0.000000	3403.850648
GASOLINE	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000229
BIODIESEL	0.000000	0.000000	251.347498
LFO	0.000000	0.000000	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE	0.000000	0.000000	6303.430000
WOOD	0.000000	0.000000	201.285003
WET_BIOMASS	0.000000	0.000000	135.360000
COAL	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
H2_RE	0.000000	0.000000	1324.102369
AMMONIA	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000	695.498624
METHANOL_RE	0.000000	0.000000	5095.630033
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
