Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						2.002069													-1.308990	-0.693079																																																																																																																																		0.000000	
 1 	 2																						2.492171													-1.573944	-0.918227																																																																																																																																		0.000000	
 1 	 3																						3.327205													-2.229155	-1.098050																																																																																																																																		0.000000	
 1 	 4																						3.933243													-2.816397	-1.116846																																																																																																																																		0.000000	
 1 	 5																						3.770150													-2.673472	-1.096678																																																																																																																																		0.000000	
 1 	 6																						3.647849													-2.579496	-1.068353																																																																																																																																		0.000000	
 1 	 7																						3.214460													-2.457023	-0.757437																																																																																																																																		0.000000	
 1 	 8																						3.941336													-3.131049	-0.810286																																																																																																																																		0.000000	
 1 	 9																						4.448994													-3.495605	-0.953389																																																																																																																																		0.000000	
 1 	 10																						5.395626													-4.276220	-1.119406																																																																																																																																		0.000000	
 1 	 11																						5.004589													-3.901813	-1.102776																																																																																																																																		0.000000	
 1 	 12																						5.321194													-3.649198	-1.671995																																																																																																																																		0.000000	
 1 	 13																						5.715380													-3.405003	-2.310378																																																																																																																																		0.000000	
 1 	 14																						5.100759													-2.440423	-2.660336																																																																																																																																		0.000000	
 1 	 15																						5.099413													-1.884983	-3.214429																																																																																																																																		0.000000	
 1 	 16																						6.539937													-2.089264	-4.450673																																																																																																																																		0.000000	
 1 	 17																						8.500043													-2.991840	-5.508203																																																																																																																																		0.000000	
 1 	 18																						10.331091													-4.085540	-6.245551																																																																																																																																		0.000000	
 1 	 19																						9.778004													-4.481829	-5.296174																																																																																																																																		0.000000	
 1 	 20																						10.830579													-5.519252	-5.311327																																																																																																																																		0.000000	
 1 	 21																						10.998509													-5.780764	-5.217746																																																																																																																																		0.000000	
 1 	 22																						10.153688													-5.061095	-5.092593																																																																																																																																		0.000000	
 1 	 23																						8.524115													-3.941320	-4.582795																																																																																																																																		0.000000	
 1 	 24																						5.917811													-2.971559	-2.946252																																																																																																																																		0.000000	
 2 	 1																						2.776544													-1.317000	-1.459544																																																																																																																																		0.000000	
 2 	 2																						1.807898													-0.798783	-1.009115																																																																																																																																		0.000000	
 2 	 3																						1.251278													-0.520159	-0.731118																																																																																																																																		0.000000	
 2 	 4																						1.103019													-0.419945	-0.683074																																																																																																																																		0.000000	
 2 	 5																						0.915505													-0.316799	-0.598706																																																																																																																																		0.000000	
 2 	 6																						0.816440													-0.262875	-0.553565																																																																																																																																		0.000000	
 2 	 7																						0.718039													-0.219619	-0.498420																																																																																																																																		0.000000	
 2 	 8																						0.625993													-0.212733	-0.413260																																																																																																																																		0.000000	
 2 	 9																						0.528391													-0.193850	-0.334541																																																																																																																																		0.000000	
 2 	 10																						0.451328													-0.232674	-0.218654																																																																																																																																		0.000000	
 2 	 11																						0.445728													-0.218733	-0.226996																																																																																																																																		0.000000	
 2 	 12																						0.457508													-0.145378	-0.312129																																																																																																																																		0.000000	
 2 	 13																						0.381602													-0.118996	-0.262607																																																																																																																																		0.000000	
 2 	 14																						0.189223													-0.082523	-0.106700																																																																																																																																		0.000000	
 2 	 15																						0.109203													-0.069263	-0.039940																																																																																																																																		0.000000	
 2 	 16																						0.135450													-0.095510	-0.039940																																																																																																																																		0.000000	
 2 	 17																						0.145308													-0.105395	-0.039913																																																																																																																																		0.000000	
 2 	 18																						0.178577													-0.138663	-0.039913																																																																																																																																		0.000000	
 2 	 19																						0.329182													-0.289189	-0.039993																																																																																																																																		0.000000	
 2 	 20																						0.699343													-0.659403	-0.039940																																																																																																																																		0.000000	
 2 	 21																						0.776848													-0.736881	-0.039966																																																																																																																																		0.000000	
 2 	 22																						0.805412													-0.765446	-0.039966																																																																																																																																		0.000000	
 2 	 23																						0.880505													-0.840539	-0.039966																																																																																																																																		0.000000	
 2 	 24																						0.741269													-0.701329	-0.039940																																																																																																																																		0.000000	
 3 	 1																						0.500626													-0.463985	-0.036640																																																																																																																																		0.000000	
 3 	 2																						0.410910													-0.374270	-0.036640																																																																																																																																		0.000000	
 3 	 3																						0.566310													-0.529670	-0.036640																																																																																																																																		0.000000	
 3 	 4																						0.699589													-0.662948	-0.036640																																																																																																																																		0.000000	
 3 	 5																						1.111558													-1.074918	-0.036640																																																																																																																																		0.000000	
 3 	 6																						1.195172													-1.158532	-0.036640																																																																																																																																		0.000000	
