TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000039	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000051	0.961540	0.048263	0.000010
CCGT_AMMONIA	0.000039	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000038	0.630000	0.048263	0.000010
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	13293.440892	151.812364	25.000000	0.000000	20.805135	59.200000	0.000000	0.454809	1.000000	0.109878	1.000000	0.048263	43304.431765
WIND_ONSHORE	9788.200000	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.465568	1.000000	0.234011	1.000000	0.041639	6228.500000
WIND_OFFSHORE	4235.066693	29.465441	30.000000	0.000000	0.910141	6.000000	0.000000	0.069187	1.000000	0.382092	1.000000	0.041639	566.881133
HYDRO_RIVER	580.165800	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.010436	1.000000	0.456122	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	0.000044	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000151	0.850000	0.048263	0.000034
IND_COGEN_WOOD	0.000036	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000053	0.850000	0.048263	0.000006
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	44.497216	0.891524	17.000000	0.000000	0.755599	Infinity	0.000000	0.129060	1.000000	0.396115	0.950000	0.067080	9.308978
IND_BOILER_WOOD	180.288038	3.605745	17.000000	0.000000	1.565272	Infinity	0.000000	0.402114	1.000000	0.595771	0.900000	0.067080	45.189405
IND_BOILER_OIL	0.000026	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000056	0.950000	0.067080	0.000006
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	1326.270777	6.016506	15.000000	0.000000	3.990705	Infinity	0.000000	0.468826	1.000000	0.272447	0.950000	0.074944	5.866336
DHN_HP_ELEC	395.223512	13.401632	25.000000	0.000000	1.243702	Infinity	0.000000	1.000000	1.000000	0.752862	0.950000	0.048263	217.386612
DHN_COGEN_GAS	0.000030	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000027	0.850000	0.048263	0.000013
DHN_COGEN_WOOD	0.000027	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000022	0.850000	0.048263	0.000004
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000021	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000024	0.750000	0.048263	0.000017
DHN_COGEN_BIO_HYDROLYSIS	0.000041	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000055	0.850000	0.074944	0.000006
DHN_BOILER_GAS	0.000006	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000037	0.950000	0.067080	0.000001
DHN_BOILER_WOOD	0.000009	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000035	0.900000	0.067080	0.000002
DHN_BOILER_OIL	0.000005	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000023	0.950000	0.067080	0.000001
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000020	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000028	1.000000	0.041639	0.000013
DEC_HP_ELEC	1371.836039	57.198603	18.000000	0.000000	3.024797	Infinity	0.000000	1.000000	1.000000	0.505596	1.000000	0.063806	498.758725
DEC_THHP_GAS	0.000057	0.000002	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000154	1.000000	0.058246	0.000075
DEC_COGEN_GAS	0.000044	0.000003	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000036	1.000000	0.058246	0.000034
DEC_COGEN_OIL	0.000042	0.000003	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000020	1.000000	0.058246	0.000035
DEC_ADVCOGEN_GAS	0.000078	0.000001	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000021	1.000000	0.058246	0.000030
DEC_ADVCOGEN_H2	0.000072	0.000001	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000014	1.000000	0.058246	0.000028
DEC_BOILER_GAS	0.000047	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000048	1.000000	0.067080	0.000006
DEC_BOILER_WOOD	0.000047	0.000002	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000045	1.000000	0.067080	0.000002
DEC_BOILER_OIL	0.000036	0.000002	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000030	1.000000	0.067080	0.000005
DEC_SOLAR	0.000331	0.000004	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000217	1.000000	0.058246	0.000106
DEC_DIRECT_ELEC	0.000049	0.000000	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000067	1.000000	0.074944	0.000002
TRAMWAY_TROLLEY	2557.542433	51.150849	30.000000	0.000000	4.092068	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000137	0.000007	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000646	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000061	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000223	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	1976.707456	96.183646	15.000000	0.000000	3.147824	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000067	0.000002	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000216	0.296800	0.074944	0.000000
TRAIN_PUB	12787.967430	461.521465	40.000000	0.000000	8.491233	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000003	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000006	0.051370	0.108434	0.000000
CAR_DIESEL	0.000002	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000003	0.051370	0.108434	0.000000
CAR_NG	0.000004	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000015	0.051370	0.108434	0.000000
CAR_METHANOL	0.000003	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000008	0.051370	0.108434	0.000000
CAR_HEV	0.000002	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000005	0.051370	0.108434	0.000000
CAR_PHEV	0.001296	0.000095	10.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000931	0.051370	0.108434	0.000000
CAR_BEV	9427.079131	227.339309	10.000000	0.000000	22.733931	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000005	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000015	0.051370	0.108434	0.000000
TRAIN_FREIGHT	299.298157	5.985705	40.000000	0.000000	2.866291	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
