Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000002	0.000001	0.000000
CCGT_AMMONIA	0.000002	0.000001	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	641.587372	151.812364	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	176.344739	29.465441	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000002	0.000003	0.000000
IND_COGEN_WOOD	0.000002	0.000001	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	2.984858	0.891524	0.000000
IND_BOILER_WOOD	12.093660	3.605745	0.000000
IND_BOILER_OIL	0.000002	0.000001	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	99.396509	6.016506	0.000000
DHN_HP_ELEC	19.074852	13.401632	0.000000
DHN_COGEN_GAS	0.000001	0.000001	0.000000
DHN_COGEN_WOOD	0.000001	0.000001	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000001	0.000002	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000003	0.000002	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000001	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	87.531071	57.198603	0.000000
DEC_THHP_GAS	0.000003	0.000002	0.000000
DEC_COGEN_GAS	0.000003	0.000003	0.000000
DEC_COGEN_OIL	0.000002	0.000003	0.000000
DEC_ADVCOGEN_GAS	0.000005	0.000001	0.000000
DEC_ADVCOGEN_H2	0.000004	0.000001	0.000000
DEC_BOILER_GAS	0.000003	0.000001	0.000000
DEC_BOILER_WOOD	0.000003	0.000002	0.000000
DEC_BOILER_OIL	0.000002	0.000002	0.000000
DEC_SOLAR	0.000019	0.000004	0.000000
DEC_DIRECT_ELEC	0.000004	0.000000	0.000000
TRAMWAY_TROLLEY	106.493991	51.150849	0.000000
BUS_COACH_DIESEL	0.000010	0.000007	0.000000
BUS_COACH_HYDIESEL	0.000005	0.000002	0.000000
BUS_COACH_CNG_STOICH	148.143067	96.183646	0.000000
BUS_COACH_FC_HYBRIDH2	0.000005	0.000002	0.000000
TRAIN_PUB	427.464688	461.521465	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000141	0.000095	0.000000
CAR_BEV	1022.217575	227.339309	0.000000
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	10.004670	5.985705	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	27.075629	39.410311	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000001	0.000001	0.000000
TRUCK_METHANOL	0.000001	0.000000	0.000000
TRUCK_FUEL_CELL	578.979151	230.271305	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000003	0.000001	0.000000
SYN_METHANOLATION	0.000007	0.000003	0.000000
METHANE_TO_METHANOL	0.000002	0.000002	0.000000
BIOMASS_TO_METHANOL	0.000003	0.000001	0.000000
OIL_TO_HVC	0.000003	0.000000	0.000000
GAS_TO_HVC	0.000002	0.000001	0.000000
BIOMASS_TO_HVC	0.000002	0.000001	0.000000
METHANOL_TO_HVC	35.191632	54.377036	0.000000
PHS	10.920097	0.000000	0.000000
BATT_LI	0.000034	0.000001	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000007	0.000001	0.000000
TS_DEC_HP_ELEC	9.744660	1.171206	0.000000
TS_DEC_THHP_GAS	0.000007	0.000001	0.000000
TS_DEC_COGEN_GAS	0.000007	0.000001	0.000000
TS_DEC_COGEN_OIL	0.000007	0.000001	0.000000
TS_DEC_ADVCOGEN_GAS	0.000007	0.000001	0.000000
TS_DEC_ADVCOGEN_H2	0.000007	0.000001	0.000000
TS_DEC_BOILER_GAS	0.000007	0.000001	0.000000
TS_DEC_BOILER_WOOD	0.000007	0.000001	0.000000
TS_DEC_BOILER_OIL	0.000007	0.000001	0.000000
TS_DHN_DAILY	0.000007	0.000001	0.000000
TS_DHN_SEASONAL	3.394189	0.382737	0.000000
TS_HIGH_TEMP	24.870486	5.515235	0.000000
GAS_STORAGE	0.610498	0.559822	0.000000
H2_STORAGE	0.000057	0.000062	0.000000
DIESEL_STORAGE	0.000036	0.000025	0.000000
GASOLINE_STORAGE	0.000036	0.000025	0.000000
LFO_STORAGE	0.000036	0.000025	0.000000
AMMONIA_STORAGE	0.000036	0.000025	0.000000
METHANOL_STORAGE	0.000036	0.000025	0.000000
CO2_STORAGE	0.000074	0.000018	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	26.082827	0.000000	0.000000
GRID	1865.738677	0.000000	0.000000
H2_ELECTROLYSIS	0.000095	0.000035	0.000000
SMR	0.000003	0.000005	0.000000
H2_BIOMASS	0.000001	0.000002	0.000000
GASIFICATION_SNG	0.000002	0.000002	0.000000
SYN_METHANATION	0.000001	0.000004	0.000000
BIOMETHANATION	0.000003	0.000001	0.000000
BIO_HYDROLYSIS	88.408209	80.429935	0.000000
PYROLYSIS_TO_LFO	0.000002	0.000002	0.000000
PYROLYSIS_TO_FUELS	0.000002	0.000001	0.000000
ATM_CCS	0.000002	0.000002	0.000000
INDUSTRY_CCS	0.000003	0.000002	0.000000
AMMONIA_TO_H2	0.000003	0.000006	0.000000
ELECTRICITY	0.000000	0.000000	832.046174
GASOLINE	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000006
BIODIESEL	0.000000	0.000000	0.000020
LFO	0.000000	0.000000	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE	0.000000	0.000000	0.000001
WOOD	0.000000	0.000000	201.285000
WET_BIOMASS	0.000000	0.000000	135.360000
COAL	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000
H2_RE	0.000000	0.000000	581.063383
AMMONIA	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000	158.966827
METHANOL_RE	0.000000	0.000000	1168.051514
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
