Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						1.476123													-1.364466	-0.111657																																																																																																																																		0.000000	
 1 	 2																						1.788579													-1.640649	-0.147930																																																																																																																																		0.000000	
 1 	 3																						2.500528													-2.323628	-0.176900																																																																																																																																		0.000000	
 1 	 4																						3.115686													-2.935758	-0.179928																																																																																																																																		0.000000	
 1 	 5																						2.963455													-2.786776	-0.176679																																																																																																																																		0.000000	
 1 	 6																						2.860932													-2.688817	-0.172115																																																																																																																																		0.000000	
 1 	 7																						2.683180													-2.561154	-0.122026																																																																																																																																		0.000000	
 1 	 8																						3.394286													-3.263746	-0.130540																																																																																																																																		0.000000	
 1 	 9																						3.797346													-3.643751	-0.153594																																																																																																																																		0.000000	
 1 	 10																						4.637790													-4.457449	-0.180340																																																																																																																																		0.000000	
 1 	 11																						4.244837													-4.067176	-0.177661																																																																																																																																		0.000000	
 1 	 12																						4.073219													-3.803855	-0.269364																																																																																																																																		0.000000	
 1 	 13																						3.921520													-3.549310	-0.372210																																																																																																																																		0.000000	
 1 	 14																						2.972440													-2.543850	-0.428589																																																																																																																																		0.000000	
 1 	 15																						2.482726													-1.964871	-0.517856																																																																																																																																		0.000000	
 1 	 16																						2.894828													-2.177809	-0.717019																																																																																																																																		0.000000	
 1 	 17																						4.006028													-3.118637	-0.887391																																																																																																																																		0.000000	
 1 	 18																						5.264869													-4.258688	-1.006180																																																																																																																																		0.000000	
 1 	 19																						5.525005													-4.671773	-0.853232																																																																																																																																		0.000000	
 1 	 20																						6.608836													-5.753163	-0.855673																																																																																																																																		0.000000	
 1 	 21																						6.866354													-6.025757	-0.840597																																																																																																																																		0.000000	
 1 	 22																						6.096023													-5.275589	-0.820435																																																																																																																																		0.000000	
 1 	 23																						4.846661													-4.108356	-0.738304																																																																																																																																		0.000000	
 1 	 24																						3.572148													-3.097496	-0.474652																																																																																																																																		0.000000	
 2 	 1																						1.607953													-1.372816	-0.235138																																																																																																																																		0.000000	
 2 	 2																						0.995208													-0.832636	-0.162572																																																																																																																																		0.000000	
 2 	 3																						0.659991													-0.542205	-0.117786																																																																																																																																		0.000000	
 2 	 4																						0.547789													-0.437743	-0.110046																																																																																																																																		0.000000	
 2 	 5																						0.426680													-0.330226	-0.096454																																																																																																																																		0.000000	
 2 	 6																						0.363197													-0.274016	-0.089181																																																																																																																																		0.000000	
 2 	 7																						0.309224													-0.228927	-0.080297																																																																																																																																		0.000000	
 2 	 8																						0.288327													-0.221750	-0.066578																																																																																																																																		0.000000	
 2 	 9																						0.255961													-0.202065	-0.053896																																																																																																																																		0.000000	
 2 	 10																						0.277761													-0.242535	-0.035226																																																																																																																																		0.000000	
 2 	 11																						0.264573													-0.228003	-0.036570																																																																																																																																		0.000000	
 2 	 12																						0.201825													-0.151540	-0.050285																																																																																																																																		0.000000	
 2 	 13																						0.166346													-0.124039	-0.042307																																																																																																																																		0.000000	
 2 	 14																						0.103211													-0.086021	-0.017190																																																																																																																																		0.000000	
 2 	 15																						0.078634													-0.072199	-0.006434																																																																																																																																		0.000000	
 2 	 16																						0.105993													-0.099558	-0.006434																																																																																																																																		0.000000	
 2 	 17																						0.116292													-0.109862	-0.006430																																																																																																																																		0.000000	
 2 	 18																						0.150971													-0.144541	-0.006430																																																																																																																																		0.000000	
 2 	 19																						0.307889													-0.301446	-0.006443																																																																																																																																		0.000000	
 2 	 20																						0.693784													-0.687349	-0.006434																																																																																																																																		0.000000	
 2 	 21																						0.774550													-0.768112	-0.006439																																																																																																																																		0.000000	
 2 	 22																						0.804325													-0.797887	-0.006439																																																																																																																																		0.000000	
 2 	 23																						0.882600													-0.876162	-0.006439																																																																																																																																		0.000000	
 2 	 24																						0.737487													-0.731053	-0.006434																																																																																																																																		0.000000	
 3 	 1																						0.489552													-0.483650	-0.005903																																																																																																																																		0.000000	
 3 	 2																						0.396035													-0.390132	-0.005903																																																																																																																																		0.000000	
 3 	 3																						0.558021													-0.552118	-0.005903																																																																																																																																		0.000000	
 3 	 4																						0.696948													-0.691045	-0.005903																																																																																																																																		0.000000	
 3 	 5																						1.126377													-1.120474	-0.005903																																																																																																																																		0.000000	
 3 	 6																						1.213534													-1.207632	-0.005903																																																																																																																																		0.000000	
