source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,2.24,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,2.24,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,11.66,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.48,Methanol,#CC0066,TWh
Methanol,MTO,10.18,Methanol,#CC0066,TWh
Heat HT,MTO,2.71,Heat HT,#DC143C,TWh
MTO,HVC,8.21,HVC,#00FFFF,TWh
HVC,Non-energy demand,8.21,HVC,#00FFFF,TWh
Gas Prod,Gas sto.,0.63,GAS,#FFD700,TWh
Gas sto.,Gas,0.61,GAS,#FFD700,TWh
Gas Prod,Gas,5.34,GAS,#FFD700,TWh
Gas,Mob public,1.98,GAS,#FFD700,TWh
Gas,Freight,1.15,GAS,#FFD700,TWh
Gas,Boilers,2.83,GAS,#FFD700,TWh
Electricity,Elec,7.93,Electricity,#00BFFF,TWh
Wind,Elec,23.55,Wind,#27AE34,TWh
Hydro River,Elec,0.46,Hydro River,#0000FF,TWh
Solar,Elec,21.63,Solar,#FFFF00,TWh
Wood,Boilers,9.45,Wood,#CD853F,TWh
Wet biomass,Biomethanation,14.10,Wood,#CD853F,TWh
Biomethanation,Gas Prod,5.96,GAS,#FFD700,TWh
Biomethanation,Elec,0.56,Electricity,#00BFFF,TWh
Elec,Mob priv,1.30,Electricity,#00BFFF,TWh
Elec,Mob public,1.88,Electricity,#00BFFF,TWh
Elec,Freight,0.53,Electricity,#00BFFF,TWh
Elec,Exp & Loss,2.47,Electricity,#00BFFF,TWh
Elec,Curt.,1.78,Electricity,#00BFFF,TWh
Elec,Elec demand,27.64,Electricity,#00BFFF,TWh
Solar,Curt.,1.61,Solar,#FFFF00,TWh
Wind,Curt.,1.05,Wind,#27AE34,TWh
Elec,Storage,1.05,Electricity,#00BFFF,TWh
Storage,Elec demand,0.76,Electricity,#00BFFF,TWh
Elec,HPs,6.16,Electricity,#00BFFF,TWh
Elec,HT sto,3.50,Electricity,#00BFFF,TWh
HT sto,Heat HT,3.48,Heat HT,#DC143C,TWh
Elec,Heat HT,6.02,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,5.77,H2,#FF00FF,TWh
H2,Freight,5.77,H2,#FF00FF,TWh
HPs,Dec. sto,2.50,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,10.90,Heat LT,#FA8072,TWh
HPs,DHN,8.20,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,2.31,Heat LT,#FA8072,TWh
Boilers,Heat HT,10.79,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,6.13,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.41,Heat LT,#FA8072,TWh
DHN,DHN Sto,1.66,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,1.63,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,17.58,Heat HT,#DC143C,TWh
