TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000154	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000244	0.961540	0.048263	0.000038
CCGT_AMMONIA	0.000149	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000144	0.630000	0.048263	0.000036
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	10319.551756	117.850266	25.000000	0.000000	16.150797	59.200000	0.000000	0.418004	1.000000	0.110550	1.000000	0.048263	33616.753442
WIND_ONSHORE	9788.199999	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.550777	1.000000	0.235260	1.000000	0.041639	6228.500000
WIND_OFFSHORE	997.801571	6.942196	30.000000	0.000000	0.214433	6.000000	0.000000	0.018893	1.000000	0.376335	1.000000	0.041639	133.559853
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.012327	1.000000	0.457841	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	0.000209	0.000013	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000790	0.850000	0.048263	0.000164
IND_COGEN_WOOD	0.000138	0.000005	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000223	0.850000	0.048263	0.000023
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	37.032466	0.741964	17.000000	0.000000	0.628841	Infinity	0.000000	0.160580	1.000000	0.515038	0.950000	0.067080	7.747325
IND_BOILER_WOOD	160.075229	3.201491	17.000000	0.000000	1.389783	Infinity	0.000000	0.462362	1.000000	0.670999	0.900000	0.067080	40.123041
IND_BOILER_OIL	0.000098	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000221	0.950000	0.067080	0.000022
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	1077.016330	4.885786	15.000000	0.000000	3.240706	Infinity	0.000000	0.377058	1.000000	0.234669	0.950000	0.074944	4.763838
DHN_HP_ELEC	373.726409	12.672686	25.000000	0.000000	1.176054	Infinity	0.000000	1.000000	1.000000	0.752531	0.950000	0.048263	205.562462
DHN_COGEN_GAS	0.000115	0.000003	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000117	0.850000	0.048263	0.000049
DHN_COGEN_WOOD	0.000102	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000087	0.850000	0.048263	0.000017
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000082	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000105	0.750000	0.048263	0.000066
DHN_COGEN_BIO_HYDROLYSIS	0.000168	0.000008	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000246	0.850000	0.074944	0.000026
DHN_BOILER_GAS	0.000022	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000145	0.950000	0.067080	0.000005
DHN_BOILER_WOOD	0.000037	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000143	0.900000	0.067080	0.000009
DHN_BOILER_OIL	0.000020	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000093	0.950000	0.067080	0.000004
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000075	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000102	1.000000	0.041639	0.000048
DEC_HP_ELEC	1292.229850	53.879429	18.000000	0.000000	2.849271	Infinity	0.000000	1.000000	1.000000	0.506963	1.000000	0.063806	469.816285
DEC_THHP_GAS	0.000218	0.000006	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000675	1.000000	0.058246	0.000287
DEC_COGEN_GAS	0.000168	0.000011	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000148	1.000000	0.058246	0.000131
DEC_COGEN_OIL	0.000162	0.000010	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000083	1.000000	0.058246	0.000137
DEC_ADVCOGEN_GAS	0.000302	0.000006	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000088	1.000000	0.058246	0.000117
DEC_ADVCOGEN_H2	0.000273	0.000005	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000051	1.000000	0.058246	0.000106
DEC_BOILER_GAS	0.000177	0.000005	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000193	1.000000	0.067080	0.000024
DEC_BOILER_WOOD	0.000180	0.000006	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000183	1.000000	0.067080	0.000008
DEC_BOILER_OIL	0.000136	0.000008	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000121	1.000000	0.067080	0.000020
DEC_SOLAR	0.001173	0.000013	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000786	1.000000	0.058246	0.000377
DEC_DIRECT_ELEC	0.000205	0.000001	15.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.000241	1.000000	0.074944	0.000008
TRAMWAY_TROLLEY	2557.542454	51.150849	30.000000	0.000000	4.092068	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000063	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000401	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000072	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000382	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	1976.706913	96.183620	15.000000	0.000000	3.147823	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000010	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000175	0.296800	0.074944	0.000000
TRAIN_PUB	12787.969065	461.521524	40.000000	0.000000	8.491235	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000028	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000054	0.051370	0.108434	0.000000
CAR_DIESEL	0.000016	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000044	0.051370	0.108434	0.000000
CAR_NG	0.000050	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000164	0.051370	0.108434	0.000000
CAR_METHANOL	0.000008	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000007	0.051370	0.108434	0.000000
CAR_HEV	0.000013	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000065	0.051370	0.108434	0.000000
CAR_PHEV	0.004805	0.000354	10.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.003539	0.051370	0.108434	0.000000
CAR_BEV	9427.076400	227.339243	10.000000	0.000000	22.733924	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000017	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000121	0.051370	0.108434	0.000000
TRAIN_FREIGHT	239.635181	4.792497	40.000000	0.000000	2.294917	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
