Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000007	0.000004	0.000000
CCGT_AMMONIA	0.000007	0.000004	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	498.057211	117.850266	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	41.547647	6.942196	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000010	0.000013	0.000000
IND_COGEN_WOOD	0.000007	0.000005	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	2.484125	0.741964	0.000000
IND_BOILER_WOOD	10.737791	3.201491	0.000000
IND_BOILER_OIL	0.000007	0.000002	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000	0.000000
IND_DIRECT_ELEC	80.716295	4.885786	0.000000
DHN_HP_ELEC	18.037327	12.672686	0.000000
DHN_COGEN_GAS	0.000006	0.000003	0.000000
DHN_COGEN_WOOD	0.000005	0.000004	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000004	0.000007	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000013	0.000008	0.000000
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000002	0.000001	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000003	0.000000	0.000000
DEC_HP_ELEC	82.451736	53.879429	0.000000
DEC_THHP_GAS	0.000013	0.000006	0.000000
DEC_COGEN_GAS	0.000010	0.000011	0.000000
DEC_COGEN_OIL	0.000009	0.000010	0.000000
DEC_ADVCOGEN_GAS	0.000018	0.000006	0.000000
DEC_ADVCOGEN_H2	0.000016	0.000005	0.000000
DEC_BOILER_GAS	0.000012	0.000005	0.000000
DEC_BOILER_WOOD	0.000012	0.000006	0.000000
DEC_BOILER_OIL	0.000009	0.000008	0.000000
DEC_SOLAR	0.000068	0.000013	0.000000
DEC_DIRECT_ELEC	0.000015	0.000001	0.000000
TRAMWAY_TROLLEY	106.493992	51.150849	0.000000
BUS_COACH_DIESEL	0.000005	0.000003	0.000000
BUS_COACH_HYDIESEL	0.000005	0.000003	0.000000
BUS_COACH_CNG_STOICH	148.143026	96.183620	0.000000
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	0.000000
TRAIN_PUB	427.464742	461.521524	0.000000
CAR_GASOLINE	0.000003	0.000002	0.000000
CAR_DIESEL	0.000002	0.000001	0.000000
CAR_NG	0.000005	0.000003	0.000000
CAR_METHANOL	0.000001	0.000000	0.000000
CAR_HEV	0.000001	0.000001	0.000000
CAR_PHEV	0.000521	0.000354	0.000000
CAR_BEV	1022.217279	227.339243	0.000000
CAR_FUEL_CELL	0.000002	0.000000	0.000000
TRAIN_FREIGHT	8.010310	4.792497	0.000000
BOAT_FREIGHT_DIESEL	0.000006	0.000009	0.000000
BOAT_FREIGHT_NG	21.678287	31.554135	0.000000
