Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																						1.390773													-1.364466	-0.026307																																																																																																																																		0.000000	
 1 	 2																						1.675502													-1.640649	-0.034853																																																																																																																																		0.000000	
 1 	 3																						2.365307													-2.323628	-0.041678																																																																																																																																		0.000000	
 1 	 4																						2.978150													-2.935758	-0.042392																																																																																																																																		0.000000	
 1 	 5																						2.828403													-2.786776	-0.041626																																																																																																																																		0.000000	
 1 	 6																						2.729368													-2.688817	-0.040551																																																																																																																																		0.000000	
 1 	 7																						2.589904													-2.561154	-0.028750																																																																																																																																		0.000000	
 1 	 8																						3.294502													-3.263746	-0.030756																																																																																																																																		0.000000	
 1 	 9																						3.679939													-3.643751	-0.036188																																																																																																																																		0.000000	
 1 	 10																						4.499938													-4.457449	-0.042489																																																																																																																																		0.000000	
 1 	 11																						4.109033													-4.067176	-0.041858																																																																																																																																		0.000000	
 1 	 12																						3.867318													-3.803855	-0.063463																																																																																																																																		0.000000	
 1 	 13																						3.637004													-3.549310	-0.087694																																																																																																																																		0.000000	
 1 	 14																						2.644828													-2.543850	-0.100978																																																																																																																																		0.000000	
 1 	 15																						2.086880													-1.964871	-0.122009																																																																																																																																		0.000000	
 1 	 16																						2.346742													-2.177809	-0.168933																																																																																																																																		0.000000	
 1 	 17																						3.327710													-3.118637	-0.209073																																																																																																																																		0.000000	
 1 	 18																						4.495749													-4.258688	-0.237061																																																																																																																																		0.000000	
 1 	 19																						4.872799													-4.671773	-0.201026																																																																																																																																		0.000000	
 1 	 20																						5.954763													-5.753163	-0.201601																																																																																																																																		0.000000	
 1 	 21																						6.223806													-6.025757	-0.198049																																																																																																																																		0.000000	
 1 	 22																						5.468887													-5.275589	-0.193298																																																																																																																																		0.000000	
 1 	 23																						4.282304													-4.108356	-0.173948																																																																																																																																		0.000000	
 1 	 24																						3.209326													-3.097496	-0.111830																																																																																																																																		0.000000	
 2 	 1																						1.428215													-1.372816	-0.055400																																																																																																																																		0.000000	
 2 	 2																						0.870939													-0.832636	-0.038303																																																																																																																																		0.000000	
 2 	 3																						0.569956													-0.542205	-0.027751																																																																																																																																		0.000000	
 2 	 4																						0.463671													-0.437743	-0.025927																																																																																																																																		0.000000	
 2 	 5																						0.352951													-0.330226	-0.022725																																																																																																																																		0.000000	
 2 	 6																						0.295027													-0.274016	-0.021012																																																																																																																																		0.000000	
 2 	 7																						0.247845													-0.228927	-0.018918																																																																																																																																		0.000000	
 2 	 8																						0.237436													-0.221750	-0.015686																																																																																																																																		0.000000	
 2 	 9																						0.214763													-0.202065	-0.012698																																																																																																																																		0.000000	
 2 	 10																						0.250835													-0.242535	-0.008299																																																																																																																																		0.000000	
 2 	 11																						0.236619													-0.228003	-0.008616																																																																																																																																		0.000000	
 2 	 12																						0.163388													-0.151540	-0.011847																																																																																																																																		0.000000	
 2 	 13																						0.134007													-0.124039	-0.009968																																																																																																																																		0.000000	
 2 	 14																						0.090071													-0.086021	-0.004050																																																																																																																																		0.000000	
 2 	 15																						0.073715													-0.072199	-0.001516																																																																																																																																		0.000000	
 2 	 16																						0.101074													-0.099558	-0.001516																																																																																																																																		0.000000	
 2 	 17																						0.111377													-0.109862	-0.001515																																																																																																																																		0.000000	
 2 	 18																						0.146056													-0.144541	-0.001515																																																																																																																																		0.000000	
 2 	 19																						0.302964													-0.301446	-0.001518																																																																																																																																		0.000000	
 2 	 20																						0.688865													-0.687349	-0.001516																																																																																																																																		0.000000	
 2 	 21																						0.769629													-0.768112	-0.001517																																																																																																																																		0.000000	
 2 	 22																						0.799404													-0.797887	-0.001517																																																																																																																																		0.000000	
 2 	 23																						0.877679													-0.876162	-0.001517																																																																																																																																		0.000000	
 2 	 24																						0.732569													-0.731053	-0.001516																																																																																																																																		0.000000	
 3 	 1																						0.485040													-0.483650	-0.001391																																																																																																																																		0.000000	
 3 	 2																						0.391522													-0.390132	-0.001391																																																																																																																																		0.000000	
 3 	 3																						0.553509													-0.552118	-0.001391																																																																																																																																		0.000000	
 3 	 4																						0.692435													-0.691045	-0.001391																																																																																																																																		0.000000	
 3 	 5																						1.121864													-1.120474	-0.001391																																																																																																																																		0.000000	
 3 	 6																						1.209022													-1.207632	-0.001391																																																																																																																																		0.000000	
